;id;opath;cpath;mgeom;lon;lat;flow
365;10743004;7952;7952;LINESTRING(11.6471890209 48.0962142734,11.6471890209 48.0962142734);11.6471890209;48.0962142734;15
366;10280030;8082;8082;LINESTRING(11.6125776321 48.1247076892,11.6125776321 48.1247076892);11.6125776321;48.1247076892;5
367;4108012;3001;3001;LINESTRING(11.6243163969 48.1958088775,11.6243163969 48.1958088775);11.6243163969;48.1958088775;5
368;4161022;28603;28603;LINESTRING(11.6149268176 48.1292085804,11.6149268176 48.1292085804);11.6149268176;48.1292085804;2
369;10866004;12858;12858;LINESTRING(11.5904838569 48.1237515094,11.5904838569 48.1237515094);11.5904838569;48.1237515094;6
370;4138021;30545;30545;LINESTRING(11.5027808257 48.1036387087,11.5027808257 48.1036387087);11.5027808257;48.1036387087;12
371;10248002;33886;33886;LINESTRING(11.4660167636 48.1461612978,11.4660167636 48.1461612978);11.4660167636;48.1461612978;30
372;10416012;7099;7099;LINESTRING(11.5721868951 48.1778640726,11.5721868951 48.1778640726);11.5721868951;48.1778640726;44
373;4088011;26999;26999;LINESTRING(11.6726213307 48.1371810212,11.6726213307 48.1371810212);11.6726213307;48.1371810212;16
374;4014015;6503;6503;LINESTRING(11.537420292 48.1596843783,11.537420292 48.1596843783);11.537420292;48.1596843783;84
